"idCliente","nombre","apellido","email","especialidad","tipo","direccion","telefono"
"1","Maria","Anders","javierbartomioli@gmail.com","Periodoncia","1","Obere Str. 57","030-0074321"
"2","Ana","Trujillo","javierbartomioli@gmail.com","Periodoncia","1","Avda. de la Constitucion 2222","(5) 555-4729"
"3","Antonio","Moreno","javierbartomioli@gmail.com","Periodoncia","1","Mataderos  2312","(5) 555-3932"
"4","Thomas","Hardy","javierbartomioli@gmail.com","Gnatologia","1","120 Hanover Sq.","(171) 555-7788"
"5","Christina","Berglund","javierbartomioli@gmail.com","Gnatologia","1","Watson 1300","0921-12 34 65"
"6","Hanna","Moos","javierbartomioli@gmail.com","Gnatologia","1","Forsterstr. 57","0621-08460"
"7","Friderique","Citeaux","javierbartomioli@gmail.com","Endodoncia","1","Sherlo Holmes 1256","88.60.15.31"
"8","Martin","Sommer","javierbartomioli@gmail.com","Gnatologia","1","C/ Araquil, 67","(91) 555 22 82"
"9","Laurence","Lebihan","javierbartomioli@gmail.com","Odontologia General","1","12, rue des Bouchers","91.24.45.40"
"10","Elizabeth","Lincoln","javierbartomioli@gmail.com","Protesista","1","23 Tsawassen Blvd.","(604) 555-4729"
"11","Victoria","Ashworth","javierbartomioli@gmail.com","Odontologia General","1","Fauntleroy Circus","(171) 555-1212"
"12","Patricio","Simpson","javierbartomioli@gmail.com","Odontologia General","1","Cerrito 333","(1) 135-5555"
"13","Francisco","Chang","javierbartomioli@gmail.com","Endodoncia","1","Sierras de Granada 9993","(5) 555-3392"
"14","Yang","Wang","javierbartomioli@gmail.com","Odontologia General","1","Hauptstr. 29","0452-076545"
"15","Pedro","Afonso","javierbartomioli@gmail.com","Odontologia General","1","Jose Ingenieros 25","(11) 555-7647"
"16","Elizabeth","Brown","javierbartomioli@gmail.com","Odontologia General","1","Berkeley Gardens 12  Brewery","(171) 555-2282"
"17","Sven","Ottlieb","javierbartomioli@gmail.com","Odontologia General","1","Walserweg 21","0241-039123"
"18","Janine","Labrune","javierbartomioli@gmail.com","Odontologia General","1","67, rue des Cinquante Otages","40.67.88.88"
"19","Ann","Devon","javierbartomioli@gmail.com","Odontologia General","1","35 King George","(171) 555-0297"
"20","Roland","Mendel","javierbartomioli@gmail.com","Odontologia General","1","Kirchgasse 6","7675-3425"
"21","Aria","Cruz","javierbartomioli@gmail.com","Distribuidor","1","Rua Ores 23","(11) 555-9857"
"22","Diego","Roel","javierbartomioli@gmail.com","Protesista","1","C/ Moralzarzal, 86","(91) 555 94 44"
